Dave Char,My Char,Dave Word,My Word,DC,MC
bertram,bertram,am,am,1,1
bertram,bertram,and,and,2,2
bertram,bertram,anew,anew,1,1
bertram,bertram,attend,attend,1,1
bertram,bertram,be,be,3,3
bertram,bertram,before,before,1,1
bertram,bertram,best,best,1,1
bertram,bertram,but,but,1,1
bertram,bertram,can,can,1,1
bertram,bertram,comfortable,comfortable,1,1
bertram,bertram,command,command,1,1
bertram,bertram,death,death,1,1
bertram,bertram,desire,desire,1,1
bertram,bertram,evermore,evermore,1,1
bertram,bertram,father's,father's,1,1
bertram,bertram,forged,forged,1,1
bertram,bertram,going,going,1,1
bertram,bertram,good,good,1,1
bertram,bertram,heard,heard,1,1
bertram,bertram,helena,helena,1,1
bertram,bertram,her,her,1,1
bertram,bertram,his,his,1,1
bertram,bertram,holy,holy,1,1
bertram,bertram,i,i,5,5
bertram,bertram,in,in,4,4
bertram,bertram,is,is,1,1
bertram,bertram,it,it,2,2
bertram,bertram,king,king,1,1
bertram,bertram,languishes,languishes,1,1
bertram,bertram,lord,lord,1,1
bertram,bertram,madam,madam,2,2
bertram,bertram,majesty's,majesty's,1,1
bertram,bertram,make,make,1,1
bertram,bertram,mistress,mistress,1,1
bertram,bertram,mother,mother,1,1
bertram,bertram,much,much,1,1
bertram,bertram,must,must,1,1
bertram,bertram,my,my,3,3
bertram,bertram,not,not,1,1
bertram,bertram,now,now,1,1
bertram,bertram,o'er,o'er,1,1
bertram,bertram,of,of,3,3
bertram,bertram,servants,servants,1,1
bertram,bertram,subjection,subjection,1,1
bertram,bertram,that,that,1,1
bertram,bertram,the,the,2,2
bertram,bertram,thoughts,thoughts,1,1
bertram,bertram,to,to,4,4
bertram,bertram,ward,ward,1,1
bertram,bertram,weep,weep,1,1
bertram,bertram,what,what,1,1
bertram,bertram,whom,whom,1,1
bertram,bertram,wishes,wishes,2,2
bertram,bertram,you,you,1,1
bertram,bertram,your,your,3,3
countess,countess,'had','tis,1,3
countess,countess,'tis,a,2,6
countess,countess,'tiswhose,able,1,1
countess,countess,a,achieves,6,1
countess,countess,able,advise,1,1
countess,countess,achieves,affect,1,1
countess,countess,advise,all,1,2
countess,countess,affect,almost,1,1
countess,countess,all,amendment,2,1
countess,countess,almost,an,1,2
countess,countess,amendment,and,1,10
countess,countess,an,approaches,2,1
countess,countess,and,are,10,2
countess,countess,approaches,as,1,3
countess,countess,are,be,2,7
countess,countess,as,bequeathed,3,1
countess,countess,be,bertram,7,2
countess,countess,bequeathed,best,1,1
countess,countess,bertram,better,2,1
countess,countess,best,birthright,1,1
countess,countess,better,bless,1,1
countess,countess,birthright,blest,1,1
countess,countess,bless,blood,1,1
countess,countess,blest,brine,1,1
countess,countess,blood,bury,1,1
countess,countess,brine,but,1,2
countess,countess,bury,can,1,1
countess,countess,but,carries,2,1
countess,countess,can,cheek,1,1
countess,countess,carries,cheque'd,1,1
countess,countess,cheek,child,1,1
countess,countess,cheque'd,commendations,1,1
countess,countess,child,contend,1,1
countess,countess,commendations,courtier,1,1
countess,countess,contend,de,1,1
countess,countess,courtier,death,1,2
countess,countess,de,delivering,1,1
countess,countess,death,derives,2,1
countess,countess,delivering,disease,1,1
countess,countess,derives,dispositions,1,1
countess,countess,disease,do,1,1
countess,countess,dispositions,down,1,1
countess,countess,do,education,1,1
countess,countess,down,empire,1,1
countess,countess,education,enemy,1,2
countess,countess,empire,excess,1,1
countess,countess,enemy,exit,2,1
countess,countess,excess,fair,1,1
countess,countess,exit,fairer,1,1
countess,countess,fair,fall,1,1
countess,countess,fairer,famous,1,1
countess,countess,fall,far,1,1
countess,countess,famous,farewell,1,2
countess,countess,far,father,1,3
countess,countess,farewell,few,2,1
countess,countess,father,for,2,8
countess,countess,fathero,friend,1,1
countess,countess,few,from,1,2
countess,countess,for,furnish,8,1
countess,countess,friend,gentlewoman,1,1
countess,countess,from,gerard,2,1
countess,countess,furnish,gifts,1,1
countess,countess,gentlewoman,go,1,2
countess,countess,gerard,good,1,2
countess,countess,gifts,goodness,1,2
countess,countess,go,great,2,2
countess,countess,good,grief,2,1
countess,countess,goodness,had,2,3
countess,countess,great,have,2,4
countess,countess,grief,he,1,2
countess,countess,had,head,2,1
countess,countess,have,heart,4,1
countess,countess,he,heaven,2,2
countess,countess,head,helena,1,1
countess,countess,heart,her,1,11
countess,countess,heaven,him,2,2
countess,countess,helena,his,1,5
countess,countess,her,honesty,11,2
countess,countess,him,hope,2,1
countess,countess,his,hopes,5,1
countess,countess,honesty,how,2,1
countess,countess,hope,husband,1,1
countess,countess,hopes,i,1,3
countess,countess,how,if,1,1
countess,countess,husband,immortal,1,1
countess,countess,i,in,3,8
countess,countess,if,inherits,1,1
countess,countess,immortal,is,1,1
countess,countess,in,it,8,6
countess,countess,inherits,keep,1,1
countess,countess,is,key,1,1
countess,countess,it,king's,6,2
countess,countess,keep,lack,1,1
countess,countess,key,lest,1,1
countess,countess,king's,life's,2,1
countess,countess,lack,livelihood,1,1
countess,countess,lest,living,1,2
countess,countess,life's,lord,1,3
countess,countess,livelihood,love,1,1
countess,countess,living,made,2,1
countess,countess,lord,maiden,3,1
countess,countess,love,majesty's,1,1
countess,countess,made,makes,1,2
countess,countess,maiden,manners,1,1
countess,countess,majesty's,may,1,1
countess,countess,makes,me,2,1
countess,countess,manners,mind,1,1
countess,countess,may,more,1,3
countess,countess,me,mortal,1,1
countess,countess,mind,my,1,6
countess,countess,more,narbon,3,1
countess,countess,mortal,nature,1,1
countess,countess,my,never,6,2
countess,countess,narbon,no,1,2
countess,countess,nature,none,1,1
countess,countess,never,o,2,1
countess,countess,no,of,2,7
countess,countess,none,on,1,1
countess,countess,of,overlooking,7,1
countess,countess,on,own,1,1
countess,countess,overlooking,passage,1,1
countess,countess,own,pity,1,1
countess,countess,passage,play,1,1
countess,countess,pity,pluck,1,1
countess,countess,play,power,1,1
countess,countess,pluck,praise,1,1
countess,countess,power,prayers,1,1
countess,countess,praise,profession,1,1
countess,countess,prayers,promises,1,1
countess,countess,profession,qualities,1,1
countess,countess,promises,rather,1,2
countess,countess,qualities,remembrance,1,1
countess,countess,rather,right,2,1
countess,countess,remembrance,sad,1,1
countess,countess,right,sake,1,1
countess,countess,sad,season,1,1
countess,countess,sake,second,1,1
countess,countess,season,shape,1,1
countess,countess,second,share,1,1
countess,countess,shape,she,1,2
countess,countess,share,should,1,1
countess,countess,she,silence,2,1
countess,countess,should,simpleness,1,1
countess,countess,silence,sir,1,1
countess,countess,simpleness,skill,1,1
countess,countess,sir,so,1,2
countess,countess,skill,sole,1,1
countess,countess,so,son,2,1
countess,countess,sole,soon,1,1
countess,countess,son,sorrow,1,1
countess,countess,soon,sorrows,1,1
countess,countess,sorrow,speech,1,1
countess,countess,sorrows,stretched,1,1
countess,countess,speech,succeed,1,1
countess,countess,stretched,takes,1,1
countess,countess,succeed,tax'd,1,1
countess,countess,takes,than,1,2
countess,countess,tax'd,that,1,3
countess,countess,than,the,2,10
countess,countess,that,thee,3,2
countess,countess,the,their,10,1
countess,countess,thee,there,2,2
countess,countess,their,they,1,2
countess,countess,there,thine,2,1
countess,countess,they,think,2,1
countess,countess,thine,this,1,2
countess,countess,think,those,1,1
countess,countess,this,thou,2,1
countess,countess,those,thought,1,1
countess,countess,thou,thy,1,7
countess,countess,thought,to,1,5
countess,countess,thy,too,7,1
countess,countess,to,traitors,5,1
countess,countess,too,trust,1,1
countess,countess,traitors,tyranny,1,1
countess,countess,trust,unclean,1,1
countess,countess,tyranny,under,1,1
countess,countess,unclean,unseason'd,1,1
countess,countess,under,use,1,1
countess,countess,unseason'd,virtue,1,1
countess,countess,use,virtues,1,1
countess,countess,virtue,virtuous,1,1
countess,countess,virtues,was,1,3
countess,countess,virtuous,were,1,1
countess,countess,was,what,3,2
